"id","Codigo","title","country","state","city","address","numero","zipcode","phone","phone2","whatsapp","fax","email","email2","latitude","longitude","tratores","implementos"
"41","529","IAMAQ TRATORES E MAQUINAS LTDA","Brasil","MG","Patos De Minas","Av. Jk","940","38706-000","(34) 3822-5500",,,"(34) 3822-5500","iamaqvendas@yahoo.com.br",,"-18.61279120","-46.51341790","0","0"
"42","530","PARK MÁQUINAS AGRÍCOLAS LTDA","Brasil","MG","Patrocínio","Avenida Faria Pereira - Bairro Morada Do Sol","810","38743-110","(34) 3831-9810",,,,"paulobotelho@parkmaquinas.com.br",,"-18.92457000","-47.00645390","0","0"
"43","531","NENA TRATORES E IMPLEMENTOS LTDA","Brasil","MG","Alfenas","Av. Mario Barbosa Vieira - Loteamento Trevo","954","37925-000","(37) 3371-4999",,,,"pedrohpacheco@hotmail.com",,"-20.47424880","-45.96198610","0","0"
"44","532","SAMI MÁQUINAS","Brasil","MG","Franca","Av. Wilson Sabio De Mello - Bairro Polo Industrial São Bernardo","2141","37950-000","(35) 3531-7000",,,,"filial@samimaquinas.com.br",,"-20.91721280","-46.98414430","1","0"
"45","533","CAMPOMAC AGRY LTDA","Brasil","MG","Teófilo Otoni","Av. Sidônio Otoni - Fátima","606","39800-224","(33) 3522-6120",,,,"campomac@campomac.com.br",,"-17.84996800","-41.51877520","0","0"
"46","534","AGROCAMPINHO COML DE TRATORES E IMPLS AGRICOLAS LTDA","Brasil","MG","Ubá","Rodovia Mg 447 Uba A Visconde Do Rio Branco Km 6 S/n Zona Rural",,"36500-000","(32) 3532-3293",,,"(32) 3532-3293","fernando@agrocampinhomaquinas.com.br",,"-21.03235200","-42.85171000","0","0"
"47","535","TRIAMAQ","Brasil","MG","Uberlândia","Av. Prof. Minervina C. De Oliveira - Bom Jesus","2270","38400-746","(34) 3236-9001","(34) 3236-2448",,"(34) 3236-2448","triamaq@triamaq.com.br",,"-18.89398000","-48.27168000","0","0"
"48","537","AGROMAX EQUIPAMENTOS AGRICOLAS LTDA","Brasil","PA","Ananindeua","Rod. Br. 316 Km 05 - Bairro Coqueiros","900","67015-220","(91) 3184-8100",,,"(91) 3184-8102","vendas@agromaxnh.com.br",,"-1.36669120","-48.41379240","0","0"
"49","538","MOTOBEL MOTORES DE BELEM LTDA. (1)","Brasil","PA","Ananindeua","Rod. Br 316 Km 2,5 S/n",,"67013-000","(91) 3202-3000",,,"(91) 3202-3088","motobel@motobel.com.br",,"-1.39433600","-48.42627360","0","0"
"50","539","AGR COMÉRCIO DE PEÇAS AGRÍCOLAS LTDA","Brasil","PA","Ananindeua","Rodovia Br 316, Km 05 – Águas Lindas",,"67020-000","(91) 3245-2591",,,,"agrpecas@hotmail.com",,"-1.39170290","-48.38883840","0","0"
"51","540","MAQBEL MAQS EQUIPAMENTOS SERVICOS LT","Brasil","PA","Belém","Rua Siqueira Mendes","32/50","66020-600","(91) 3224-4677",,,"(91) 3222-7126","maqbel@interconect.com.br",,"-1.45654020","-48.50576980","0","0"
"52","541","MAQBRASIL MAQ. E EQUIPAMENTOS LTDA. - ME","Brasil","PA","Belém","Rua Magno - Bairro Montese","1504","66077-375","(91) 3276-6298",,,"(91) 3276-6298","maqbrasil_pa@yahoo.com.br",,"-1.44914590","-48.44698440","0","0"
"53","542","COSMO FERREIRA DE OLIVEIRA LTDA","Brasil","PA","Belém","Praça São Cristovão - Marco","80","66613-840","(91) 3276-8845",,,"(91) 4008-0950","olimaquinas@oi.com.br",,"-1.42320100","-48.45026810","0","0"
"54","543","LI COMÉRCIO E SERVIÇOS LTDA","Brasil","PA","Belém","Rua Dr. Malcher – Cidade Velha","09","66020-250","(91) 3355-9982",,,,"casmapel@globo.com",,"-1.45835400","-48.50409320","0","0"
"55","544","ÁREA PORTUÁRIA COM. DE PEÇAS E MOTORES LTDA","Brasil","PA","Belém","Rua Do Arsenal - Loja 02 Ed. Antoni","919","66023-110","(91) 3086-1847",,,"(91) 3223-7015","areaportuarea@gmail.com",,"-1.46194990","-48.50622070","0","0"
"56","545","CASMAPE CASTANHAL COMERCIO DE MAQUINAS E PECAS EIRELI","Brasil","PA","Castanhal","Av. Presidente Getúlio Vargas - Ianetama - Castanhal","3126","68745-000","(91) 3721-2943",,,"(91) 3721-5437","casmape@globo.com",,"-1.29278220","-47.91440070","0","0"
"57","546","REIMAC REDENÇÃO I M AGRICOLA LTDA","Brasil","PA","Marabá","Folha 29 - Quadra 21 - Nova Maraba","Lote 09-A","68506-560","(94) 3322-3838",,,"(94) 3322-3575","reimaqpecas@skorpionet.com.br",,"-5.33206280","-49.08591370","0","0"
"58","547","AGRIPEÇAS LTDA","Brasil","PA","Marabá","Rua A, Q 06 Km 07","Lote 08","68504-000","(94) 2101-2250",,,"(94)2101-2250","agripecas_agr@hotmail.com",,"-5.34512050","-49.07812080","0","0"
"59","548","AGRÍCOLA IMPLEMENTOS LTDA","Brasil","PA","Marabá","Folha 29 - Quadra 31 - Lotes 1013 S/n - Nova Maraba",,"68508-970","(94) 99177-9199",,,,"agricolamba@outlook.com",,"-5.34727450","-49.08052730","0","0"
"60","549","MOTOBEL MOTORES DE BELEM LTDA. (2)","Brasil","PA","Marabá","Rod. Transamazônica, Km 1 Aeroporto","3215","68500-000","(94) 3324-1767",,,"(94) 3324-1150","maraba@motobel.com.br",,"-5.36992000","-49.19251000","0","0"
"61","552","JESSICA MOTO SERRA EQUIP. AGRÍCOLAS LTDA","Brasil","PA","Parauapebas","Rua 15 - Quadra 59","59","68515-000","(94) 3346-1365",,,"(94) 3346-9744","jm.ltda@yahoo.com.br",,"-6.06820160","-49.90416960","0","0"
"62","553","MOTOBRAS MOTORES LTDA","Brasil","PA","Redenção","Av. Min. Osmar Tompson Filho - Entroncamento","32","68552-140","(94) 3424-1337",,,"(94) 3424-1270","motobras@jc.net.br",,"-8.03792980","-50.02489840","0","0"
"63","556","MOTOBEL MOTORES DE BELEM LTDA. (3)","Brasil","PA","Uraim-paragominas","Av. Pres. Vargas, S/n Quadra R Lote 6-c",,"68625-130","(91) 3729-3339",,,"(91) 3729-3099","paragomi@motobel.com.br",,"-2.98934070","-47.40123160","0","0"
"64","557","AGRIMAQ COM. DE MAQ. AGR. LTDA. (01)","Brasil","PR","Araucaria","Rod. Br. 476 Km 20 - Faz. Velha",,"83707-440","(41) 3642-3676",,,"(41) 3642-3676","agrimaq.araucaria@hotmail.com",,"-25.59300000","-49.40481087","0","0"
"65","558","PORTAL MOTORES EQUIP. MAQUINAS E PEÇAS LTDA","Brasil","PR","Curitiba","Rua Thomas Edison - Bairro Prado Velho","140","80215-260","(41) 3042-3409",,,,"portalmaquinas1@hotmail.com",,"-25.42448999","-49.27300000","0","0"
"66","559","AGRO PEC FOZ DO IGUACU LTDA","Brasil","PR","Foz Do Iguaçu","Av. Republica Argentina - Centro","1616","85852-090","(45) 3572-4884",,,"(45) 3572-4884","marcelo-agrofoz@hotmail.com",,"-25.54709999","-54.58800000","0","0"
"67","561","CACOL- AGRIC. COML. LONDRINA LTDA","Brasil","PR","Londrina","Rua Messias Wilmar De Souza","68","86025-190","(43) 3329-0909",,,"(43) 3337-4084","cacol@cacol.com.br",,"-23.30693999","-51.15966803","0","0"
"68","563","C S NARIMATSU & A A DOS SANTOS ME","Brasil","PR","Maringá","Av. Brasil 6328 ","Zona 4","87015-280","(44) 3028-3619",,,"(44) 3028-3619","ciamag-mga@wnet.com.br",,"-23.42446120","-51.95943620","0","0"
"69","568","PULVETEC MAQUINAS AGRICOLAS LTDA","Brasil","PE","Petrolina","Br 407 – Jardim São Paulo","320","56314-570","(87) 3867-9575",,,"(87) 3867-9575","pulvetec@uol.com.br",,"-9.36783200","-40.54226500","0","0"
"70","569","GIL MAQ INDUSTRIA E COMERCIO LTDA","Brasil","PE","Recife","Estrada Dos Remedios","1341","50750-000","(81) 2102-3633",,,"(81) 2102-3633","gilmaq@gilmaq.com.br",,"-8.06814000","-34.90840000","0","0"
"71","570","IRRIMAQUINAS - IRRIGAÇÃO E MÁQUINAS LTDA","Brasil","PI","Floriano","Rua Alfredo Estrela - Centro","338","64800-000","(89) 3521-2830",,,"(89) 3521-2830","irrimaquinas@yahoo.com.br",,"-6.76582500","-43.02172600","0","0"
"72","571","M. CARVALHO & CIA LTDA","Brasil","PI","Teresina","Rua Rui Barbosa - Centro / Norte","1257","64000-090","(86) 3232-4090",,,"(86) 3232-4090","vendas@mcarvalho.com.br","cleidiane@mcarvalho.com.br","-5.09201080","-42.80375970","0","0"
"73","572","A. SAMPAIO E CIA LTDA","Brasil","PI","Teresina","Rua Anfrisio Lobão - Bairro Jockey Clube","1869","64049-280","(86) 3233-1153",,,"(86) 3233-3525","sampaio.cia@uol.com.br",,"-5.07269170","-42.78706230","0","0"
"74","573","A. J RODRIGUES NETO","Brasil","RJ","Campos Dos Goytacazes","Av. Presidente Vargas","217","28055-293","(22) 2731-7911",,,,"anisio.ajemaq@ig.com.br",,"-21.76266820","-41.31845010","0","0"
"75","574","ITAMAPE DE ITAPERUNA MÁQUINAS E PEÇAS LTDA","Brasil","RJ","Itaperuna","Av. Deputado Cory D Campos Pillar Filho","1562","28300-000","(22) 3824-1536",,,"(22) 3824-1536","ronaldoitamape@yahoo.com.br",,"-21.20015780","-41.88030550","0","0"
"76","576","TRATOR RETRO COM. SERV. E LOC. MAQS. E CAMIHÕES LTDA. ME","Brasil","RJ","Tanguá","Rod. Br 101 Km 280 Lote 04 Quadra 01 – Duques",,"24890-000","(21) 2639-8920",,,,"tratorretro2@gmail.com",,"-22.74280380","-42.72059940","0","0"
"77","577","LAQUEIROZ COMÉRCIO DE MÁQUINAS AGRÍCOLAS","Brasil","RJ","Teresópolis","Estrada Teresópolis Friburgo Km 6,5 -  Albuquerque","6965","25976-440","(21) 2743-0473","(21) 2742-2884",,"21-2743 0473 | 2742 2884","leonardo@agroqueiroz.com.br",,"-22.37660470","-42.93258940","0","0"
"78","582","TRAMAK - TRATORES E MAQUINAS KAFER L","Brasil","RS","Erechim","Rua Delmar Luiz Rigoni - Bairro Aeroporto","55","99700-000","(54) 3522-1814",,,"(54) 3522-1814","kafer.rs@st.com.br",,"-27.65719000","-52.27670000","0","0"
"79","584","ITAPEVA COMERCIAL AGRÍCOLA LTDA","Brasil","RS","Osório","Rs -030- Km 86 - Bairro Entroncamento","90","95520-000","(51) 3663-6577",,,"(51) 3663-1636","itapeva@terra.com.br",,"-29.89289000","-50.26133000","0","0"
"80","585","BERGMANN MAQS. E IMPLS. AGTRIC. LTDA","Brasil","RS","Pelotas","Rua Barão De Santa Tecla","517","96010-140","(53) 3227-7373",,,"(53) 3227-7373","bergmann.maquinas@terra.com.br",,"-31.77209001","-52.34310587","0","0"
"81","587","BERGMANN & CIA. LTDA","Brasil","RS","S. Lorenço Do Sul","Av. Cel. Nono Centeno","375","96170-000","(53) 3251-3088",,,"(53) 3251-1451","lula@bergmann-maquinas.com",,"-31.36482000","-51.97800000","0","0"
"82","588","LOTHAR KRAUSE & CIA LTDA","Brasil","RS","Santa Cruz Do Sul","Av Independencia - Centro","168","96815-000","(51) 3713-2656",,,"(51) 713-3495","bianca.vanzin@lkrause.com.br","credito@lkrause.com.br","20.12790140","40.69323750","0","0"
"83","590","HERMANNS INSUMOS E EQUIPAMENTOS LTDA","Brasil","RS","Santa Rosa","Av, Inhacora - Centro","119 302","98500-000","(55) 3512-1985",,,"(55) 3512-1985","hermanns@hermanns.com.br",,"-27.37082000","-53.75800000","0","0"
"84","591","F. G. ASSITÊNCIA TÉCNICA EM AGROPECUÁRIA LTDA","Brasil","RS","Santo Expedito Do Sul","Av. José Pilonetto - Centro","830 B","99895-000","(54) 3396-1147",,,"(54) 3396-1147","gelson@fgme.com.br",,"-27.90793140","-51.64385710","0","0"
"85","593","JOEL FRAGA SHEWFFER & CIA. LTDA","Brasil","RS","Torres","Av. Castelo Branco","521","95560-000","(51) 3664-3584",,,"(51) 3626-1769","micromaq@terra.com.br",,"-29.33482000","-49.72700000","0","0"
"86","595","OLIVEIRA & BRITO LTDA","Brasil","RR","Boa Vista","Av. Ville Roy - São Vicente","7322","69303-000","(95) 3624-5485",,,"(95) 3624-1082","comam_rr@yahoo.com.br",,"2.83132000","-60.66386000","0","0"
"87","597","FERPAM COMÉRCIO DE BORRACHAS LTDA","Brasil","TO","Araguaia","R. Marechal Deodoro – Vila Rosário","26","77823-010","(63) 3411-8400",,,,"estevão@ferpam.com.br",,"-9.71160900","-35.89583000","0","0"
"88","598","IMPLEMENTOS AGRICOLAS OLIVEIRA LTDA","Brasil","RO","Alta Floresta Do Oeste","Av. Brasil","4390","78994-000","(69) 3641-2282",,,"(69) 3641-2282","motomotores@hotmail.com",,"-11.92917000","-61.99382000","0","0"
"89","599","CACOAL MOTO SERRAS LTDA","Brasil","RO","Cacoal","Av. Castelo Branco","19209","78975-000","(69) 3441-3473",,,"(69) 3441-2272","cmserras@nettravel.com.br",,"-11.43405000","-61.46202000","0","0"
"90","600","C.V. MÁQUINAS E EQUIPAMENTOS EIRELLI - EPP","Brasil","RO","Guajará Mirim","Av. Presidente Dutra","393 A","76850-000","(69) 3541-2223",,,,"guajara@implemaq.com.br",,"-10.78932100","-65.33010490","0","0"
"91","601","AGROMOTORES MAQUINAS E IMPLS. LTDA. (FILIAL)","Brasil","RO","Guajará Mirim","Av. Dr. Mendonça Lima – Centro","39","78957-000","(69) 3541-7239",,,,,,"-10.78932100","-65.33010490","0","0"
"92","602","HILGERT & CIA LTDA","Brasil","RO","Ji-parana","Av Marechal Rondon","1327 - S2","78961-390","(69) 3411-5500",,,,"vendas@implemaq.com.br",,"-10.87762200","-61.94649200","0","0"
"93","603","AGROMOTORES MAQUINAS E IMPLEM. LTDA","Brasil","RO","Porto Velho","Rua Almirante Barroso, Bairro N. S. Das Graças","1528","78915-020","(69) 3211-3400",,,"(69) 3211-3402","agromotores@agromotores.com.br",,"-8.77130000","-63.88185000","0","0"
"94","604","TRATORDICO COM. E REPRESENTAÇÕES LTDA","Brasil","RO","Vilhena","Av. Marechal Rondon","3472","76980-000","(69) 3322-1311",,,"(69) 3322-1311","compras@tratordico.com.br",,"-12.74578000","-60.11326000","0","0"
"95","605","ACH COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA","Brasil","RO","Guajará Mirim","Av. Presidente Dutra","393 A","76850-000","(69) 3541-6149",,,,"ach-ach@bol.com.br",,"-10.78932100","-65.33010490","0","0"
"96","606","OFIC E COM A.PECAS S. CRISTOVAO LTDA","Brasil","SC","Alfredo Wagner","Rua Do Comercio","205","88450-000","(48) 3276-1148",,,"(48) 3276-1148","oficina.cristovao@hotmail.com",,"-27.70059600","-49.32783130","0","0"
"97","607","AGRINORTE COMÉRCIO DE MÁQUINAS LTDA","Brasil","SC","Indaial","Br 470 Km 71 - Bairro Rio Morto","1555","89130-000","(47) 3394-5920",,,"(47) 3394-5920","agrinorte@brturbo.com.br",,"-26.89997000","-49.23386000","0","0"
"98","608","AGROMAR REPAROS DE MOTORES LTDA","Brasil","SC","Itajai","Rua Carlos Seara - Vila Operaria","554","88303-200","(47) 3348-2851",,,"(47) 3349-7638","agromar1@terra.com.br",,"-26.90539000","-48.66492688","0","0"
"99","609","SILVA COM. DE TRATORES LTDA","Brasil","SC","Ituporanga","Rua Pref. Virgilio Scheller -B. Sto Antonio","599","88400-000","(47) 3533-3100",,,"(47) 3533-3100","silvatratores@silvatratores.com.br",,"-27.41567780","-49.60338400","0","0"
"100","611","J.BOITAS COM.MAQ.E EQ.E IMPL.AGRICS.","Brasil","SC","José Boiteux","Av. 26 De Abril, S/nr - Centro",,"89145-000","(47) 3352-7015",,,"(47) 3352-7015","jboitas@jboitas.com.br",,"-26.95706430","-49.62911450","0","0"
"101","612","AGROFER AGRICOLA FERRARI LTDA","Brasil","SC","São Miguel Do Oeste","Rua Guanabara - Centro","805","89900-000","(49) 3622-3939 ",,,,"agrofer@agrofersmo.com.br",,"-26.73450353","-53.51992696","0","0"
"102","613","MASSARANDUBA TRATORES LTDA ME","Brasil","SC","Massaranduba","Rua Adolfo Cardoso - Centro 1 Andar","913","89108-000","(47) 3379-1277",,,"(47) 3379-1277","massba.autopecas@hotmail.com",,"-26.61195340","-49.00757140","0","0"
"103","614","AGROMAQUI AGROP. E MAQUINAS LTDA","Brasil","SC","Rio Do Sul","Rua 15 De Novembro - Bairro Laranjeiras","851","89160-000","(47) 3521-1866",,,"(47) 3521-1866","agromaqui1@yahoo.com.br",,"-27.21527000","-49.63901000","0","0"
"104","617","SEMAG-COMERCIAL AGRICOLA LTDA","Brasil","SP","Capão Bonito","Av.placido Batista Da Silveira - Centro","339","18305-475","(15) 3543-1112",,,"(15) 3543-1112","hissano@hotmail.com",,"-24.00216000","-48.35026380","0","0"
"105","618","OTTOBONI MAQS. E IMPLS. AGRICS. LTDA","Brasil","SP","Dracena","Rua João Ottobon","187","17900-000","(18) 3821-8100",,,"(18) 3821-1166","ottoboni@ottoboni.agr.br",,"-21.49082890","-51.53842580","0","0"
"106","619","SAMI MÁQUINAS","Brasil","SP","Franca","Av. Wilson Sabio De Mello - Bairro Polo Industrial São Bernardo","2141","14406-052","(16) 3713-9600",,,"(16) 3713-9600","comercial@samimaquinas.com.br",,"-20.54772060","-47.43700930","0","0"
"107","620","AGRO KAYAMA COM. PROD. AGR. LTDA - EPP","Brasil","SP","Ibiuna","Rua Francisco De Barros","36","18150-000","(15) 3241-1244",,"(15) 99699-7861",,"mailtoagrokayama@agrokayama.com.br",,"-23.66010080","-47.22348900","0","0"
